feature,importance,rank
trial_extension_intensity,0.12849571839366628,1
n_trial_extension,0.07259467725339525,2
feature_click_rate,0.06587862391725534,3
avg_events_per_active_day,0.05801597342493414,4
churn_risk,0.054291636161157626,5
n_logout,0.053184470994020724,6
login_logout_ratio,0.05288723274206793,7
tenure_days,0.04920438284079446,8
recency_checkout_days,0.0482024133880612,9
last_event_day,0.0443698765730831,10
n_login,0.040146382696002694,11
events_first_7d,0.03816288813379469,12
first_event_day,0.03780102436406111,13
n_total_events,0.03710723502547868,14
growth_potential,0.03596559152337814,15
n_feature_click,0.028924728783614108,16
n_checkout_start,0.02840705252065326,17
industry_Healthcare,0.024080243883890826,18
industry_E-Commerce,0.018614347710893233,19
country_Germany,0.013542747654418253,20
device_is_desktop,0.010465766030504794,21
activity_trend,0.008697634448723705,22
plan_ordinal,0.008281220010441912,23
country_France,0.007779482333061517,24
events_last_7d,0.00770271877651143,25
industry_SaaS,0.0072441376413199705,26
country_UK,0.006327846669637302,27
industry_Education,0.0041457050132696766,28
days_active,0.0035068360073199686,29
country_USA,0.0030215876867893134,30
country_Turkey,0.0029498173977994197,31
